recipient_type,year,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest,dividends,rents_royalties,socialsecurity,personal_services_income,notional_principal_contract,af_change,WFP,ForCorp,ForIndiv,ForGovt,ForPart,int_share_of_total_income,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Artists and athletes,2015,29984,250350,1066770,42248,6142,78286,0,1767,0,0,0,0,0,0,0,0.039603663395108596,1.0338134140672245e-4,0.001294157606964928,0.005666148504340129,1024522,0.002464955621923231
Artists and athletes,2016,27680,247823,1040905,13199,11773,69423,0,0,0,0,0,0,0,0,0,0.012680311844020348,3.2068555404074686e-5,0.0012202311081061588,0.004877496082408539,1027706,0.00232801173541214
Artists and athletes,2017,32083,273280,1204810,4015,2543,97552,0,1636,0,0,0,0,0,0,0,0.0033324756600625824,8.784411342473058e-6,0.0013658196880741084,0.005380216439552095,1200795,0.002825032267211561
Artists and athletes,2018,33155,241757,3094998,515,1432,121399,0,27857,0,1,0,0,0,0,0,1.663975227124541e-4,9.600302604520712e-7,0.0029198473038308803,0.00509536579132314,3094483,0.005910636175743102
Artists and athletes,2019,36089,291306,1246470,1037,1248,126112,0,5070,0,1,0,0,0,0,0,8.31949425176699e-4,1.7961614239405191e-6,0.0011073179880980838,0.0050760643081606644,1245433,0.0022713471484821957
Artists and athletes,2020,20934,101956,485267,507,298,135448,0,595,0,1,0,0,0,0,0,0.001044785654083216,1.01524500713519e-6,4.7524695451780374e-4,0.0024890176584234057,484760,9.291983180114998e-4
Artists and athletes,2021,24384,127445,664123,1026,0,171699,0,767,0,1,0,0,0,0,0,0.00154489454513697,2.5767703908166554e-6,7.027018033263329e-4,0.0027160909676608737,663097,0.0012124061011132723
Artists and athletes,2022,41040,461543,1974076,13524,560,204200,0,22422,0,1,0,0,0,0,0,0.006850800070514002,2.3509980986502792e-5,0.0016815658039108163,0.002916765159609739,1960552,0.0032746487578045043
Corporations,2015,619412,9919577,435937400,205142336,89710948,34136414,0,3966774,36566117,0,0,1,0,0,0,0.4705775095231563,0.5019856531667433,0.5288597376852673,0.11705177352489088,230795064,0.5552829422100569
Corporations,2016,674450,9835321,522992662,233771568,86471932,44378976,0,4857492,63320800,0,0,1,0,0,0,0.44698823709308566,0.5679760951818632,0.6130933327091808,0.11884491447906209,289221094,0.6551582855026026
Corporations,2017,715877,10506486,524209269,271464074,86090444,51941519,0,4896114,35018702,0,0,1,0,0,0,0.5178543952834989,0.593935763566512,0.5942641082586768,0.12005028220856015,252745195,0.5946171755026278
Corporations,2018,761081,11758608,637085170,303761290,126791201,56928750,0,4520293,48468768,1,0,1,0,0,0,0.4767985574048129,0.5662524861241887,0.6010315405486976,0.11696534736317318,333323880,0.6366673151434513
Corporations,2019,810446,12067047,702821916,343414667,134713323,54947917,0,6245053,53057238,1,0,1,0,0,0,0.4886225929812923,0.5948198430865759,0.6243610756908393,0.11399251889194983,359407249,0.6554657136594104
