recipient_type,year,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest,dividends,rents_royalties,socialsecurity,personal_services_income,notional_principal_contract,af_change,WFP,ForCorp,ForIndiv,ForGovt,ForPart,int_share_of_total_income,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,2015,619412,9919577,435937400,205142336,89710948,34136414,0,3966774,36566117,0,0,1,0,0,0,0.4705775095231563,0.6478944876963114,0.6268980617191164,0.12402651881486287,230795064,0.6093457761726565
Corporations,2016,674450,9835321,522992662,233771568,86471932,44378976,0,4857492,63320800,0,0,1,0,0,0,0.44698823709308566,0.7187179981905104,0.7148671576253652,0.12203407617698334,289221094,0.7117846273771488
Corporations,2017,715877,10506486,524209269,271464074,86090444,51941519,0,4896114,35018702,0,0,1,0,0,0,0.5178543952834989,0.7287633895041671,0.6981828648491497,0.12232544398010127,252745195,0.6680728040489381
Corporations,2018,761081,11758608,637085170,303761290,126791201,56928750,0,4520293,48468768,1,0,1,0,0,0,0.4767985574048129,0.6960634743764532,0.6993800973595106,0.11897501040334332,333323880,0.7024302139796649
Corporations,2019,810446,12067047,702821916,343414667,134713323,54947917,0,6245053,53057238,1,0,1,0,0,0,0.4886225929812923,0.7357565784637615,0.7252215878844248,0.11570442851267002,359407249,0.7154334240270563
Corporations,2020,840813,11281264,599684092,271016634,96310841,46746462,0,7710482,35748095,1,0,1,0,0,0,0.45193233840193314,0.6803191819512829,0.6852779762839102,0.10122452330824751,328667458,0.6894216690826958
Corporations,2021,828163,11846261,541072789,215251952,129294462,67633933,0,10758655,30172969,1,0,1,0,0,0,0.39782438957579885,0.693494030815135,0.6700813799962803,0.0931603292052007,325820837,0.6554621755591521
Corporations,2022,1103857,15238711,727890939,333276171,163330418,77017063,0,15191400,40152737,1,0,1,0,0,0,0.45786553059427493,0.685934780514968,0.7072365221276483,0.07912424775635062,394614768,0.7262854510500886
Hybrid entity making treaty claim,2019,2292,125161,16620201,3746326,4438573,2937100,0,139062,0,1,0,0,0,0,0,0.225407983934731,0.008026401503607969,0.017149904244275593,3.2722050593258486e-4,12873875,0.025626640801967575
Hybrid entity making treaty claim,2020,2769,50674,7297849,2903992,981628,868345,0,200015,5,1,0,0,0,0,0,0.3979243747027377,0.00728974245113335,0.008339482838817004,3.333567690325165e-4,4393857,0.009216672210519503
Hybrid entity making treaty claim,2021,5190,112355,11606318,4054930,2863475,729090,0,346949,0,1,0,0,0,0,0,0.34937264341714575,0.013064084781787324,0.014373625397960397,5.838248129595159e-4,7551388,0.015191321870464885
Hybrid entity making treaty claim,2022,8948,86882,11636519,3447425,3260237,1830030,0,822384,843,1,0,0,0,0,0,0.2962591304152041,0.007095342891216827,0.011306324596564735,6.413908404112356e-4,8189094,0.015071964639401367
Individuals,2015,3870025,1221250,13357905,1898087,2589078,1829460,1928987,1553820,4916,0,0,0,1,0,0,0.14209466229921533,0.00599466754862355,0.01920928269317589,0.774905440121421,11459818,0.030256243669090688
Individuals,2016,4065803,2305895,13422555,1566926,2593944,2093925,1990325,1157402,0,0,0,0,1,0,0,0.11673828119907126,0.004817428944278903,0.01834699497355497,0.7356609281972086,11855629,0.029177174988788055
Individuals,2017,4439105,1567407,15363099,1969711,3206922,2155891,2049350,1281104,446,0,0,0,1,0,0,0.1282105257539511,0.0052878203865150955,0.020461775682148624,0.7585318287908223,13393388,0.03540228836744215
Individuals,2018,4925906,1672738,17748340,2547535,3554124,2470772,2138684,1411024,0,1,0,0,1,0,0,0.14353652228884503,0.00583763014436638,0.01948379328492248,0.7700359325694522,15200805,0.03203342259430425
Individuals,2019,5456187,1579649,15751990,2755916,3435893,1693707,2242544,1244661,0,1,0,0,1,0,0,0.17495668801211783,0.00590447503132863,0.01625402244875298,0.7789599784479897,12996074,0.025869889231780636
Individuals,2020,7074906,1659677,24378523,2791383,3798175,10406285,2329723,1155711,0,1,0,0,1,0,0,0.1145017276067135,0.007007065843319116,0.027858109176307377,0.8517399080421688,21587140,0.045281763458072034
Individuals,2021,7442952,1721033,17608190,2086081,3464331,3605320,2386379,1155362,0,1,0,0,1,0,0,0.11847219958439795,0.00672089013760427,0.021806530460057382,0.8372601270263305,15522109,0.03122622674499573
Individuals,2022,12403723,2640728,23099470,2939853,5871641,4068319,2571060,1441249,0,1,0,0,1,0,0,0.12726928366754736,0.0060506798798443655,0.02244400630709314,0.8890963700489688,20159617,0.0371036203233074
Other and unknown,2015,287344,1300939,101541642,40147614,30813832,12028023,0,345581,7204698,0,0,0,0,0,0,0.395380783777359,0.12679692701149342,0.14602155849343604,0.05753565643277488,61394028,0.1620926851538983
Other and unknown,2016,544377,1183815,46346931,20233209,8045405,9326469,0,384915,145266,0,0,0,0,0,0,0.4365598447068696,0.06220590294132868,0.06335059979986665,0.09849884244495168,26113722,0.06426690953323222
Other and unknown,2017,476107,1176529,48441757,15991333,12097021,6622791,0,455032,403987,0,0,0,0,0,0,0.3301146364282369,0.042929798658255754,0.06451851708975857,0.08135475808977531,32450424,0.08577510545455456
Other and unknown,2018,477038,676291,40746639,16019434,6644391,7015471,0,640207,294222,1,0,0,0,0,0,0.393147371001569,0.0367082418157504,0.0447308926542629,0.07457235302522346,24727205,0.05210888550580006
Other and unknown,2019,512054,379499,30796352,8136680,3707590,8512468,0,353811,312913,1,0,0,0,0,0,0.26420921542915216,0.017432615470831126,0.03177786405068177,0.07310408767225297,22659672,0.04510617627050147
Other and unknown,2020,185190,189062,11689331,5023219,2080139,883395,0,197625,321981,1,0,0,0,0,0,0.42972681670148616,0.012609529497891047,0.013357768196046754,0.022294814032911427,6666112,0.013983015201134355
Other and unknown,2021,409187,220976,25587966,4577904,2345270,2346859,0,2466805,40075,1,0,0,0,0,0,0.17890847596092632,0.014748990976140974,0.0316889333878106,0.04602958068217061,21010062,0.04226648324260695
Other and unknown,2022,196179,282503,16974014,5419086,3078063,3151421,0,319858,11439,1,0,0,0,0,0,0.3192577783899554,0.011153331349338312,0.016492364425360725,0.014062071265202926,11554928,0.021266756276924988
Partnerships and trusts,2015,175300,726216,21992305,7302467,9536435,1799310,0,34762,0,0,0,0,0,0,1,0.33204645897735596,0.023063148290776117,0.03162594761824893,0.0351007871146272,14689838,0.03878415154476867
Partnerships and trusts,2016,195693,727523,28941597,8456618,9818882,5699271,0,37688,1563155,0,0,0,0,0,1,0.29219596969718015,0.025999413069864155,0.03955963187974671,0.03540842830351012,20484979,0.05041434890756522
Partnerships and trusts,2017,185730,755652,26571413,10292177,9670785,2594754,0,332068,194494,0,0,0,0,0,1,0.3873402216133557,0.027630034742265122,0.03538988405683826,0.03173660378867348,16279236,0.043030352534672
Partnerships and trusts,2018,191582,868990,31686176,13850626,11535057,1765215,0,354078,79423,1,0,0,0,0,1,0.4371188874290164,0.03173845770752697,0.03478448706603952,0.029948810235826833,17835550,0.03758575354080545
