recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,135290,33406,242342,12613,Australia,2015,0,0,0,0.012821333853790237,0.037116287090901375,0.0637938302609752,229729,0.04142611178192383
Corporations,17523,364911,6173334,2017379,Australia,2015,0,0,0,0.014457234308307192,0.02370394909387543,0.045938832116022885,4155955,0.03437693922964002
Individuals,5809,3625,180778,163735,Bermuda,2015,1,0,0,0.16643947502975856,0.02768735154335183,0.002739140808529861,17043,0.0030732960274903382
Corporations,10451,201715,6757445,5700642,Bermuda,2015,1,0,0,0.040852768419705435,0.02594677888555245,0.0273986608711154,1056803,0.00874158948032432
Individuals,2363,5138,35318,15917,British Virgin Islands,2015,1,0,0,0.01617990731394428,0.005409186304794277,0.0011142347616725876,19401,0.0034985047368033826
Corporations,92750,361373,3678208,1833205,British Virgin Islands,2015,1,0,0,0.013137379847891886,0.01412333354856312,0.24315623345095716,1845003,0.015261367365504083
Individuals,425624,120626,1566107,29613,Canada,2015,0,0,0,0.03010212950228259,0.23985969013654374,0.20069617274741153,1536494,0.2770698178995916
Corporations,46100,471173,21581656,6365234,Canada,2015,0,0,0,0.045615464107241835,0.08286777860804732,0.12085716832441105,15216422,0.1258661401258092
Individuals,1505,14091,270790,256263,Cayman Islands,2015,1,0,1,0.26049579619232915,0.04147328726075209,7.096586188392908e-4,14527,0.0026195958100893118
Corporations,106553,2426661,58966566,44590219,Cayman Islands,2015,1,0,1,0.3195489017887721,0.22641581983165754,0.2793425999234484,14376347,0.11891726622718908
Individuals,207200,20801,576421,34639,China,2015,0,0,0,0.0352111459098898,0.08828270510775872,0.09770183775647912,541782,0.09769738123368951
Corporations,2109,45426,1364772,540991,China,2015,0,0,0,0.0038769282547728595,0.0052403589393910256,0.005529018828550605,823781,0.006814094323815365
Individuals,67936,30967,247058,7187,France,2015,0,0,0,0.007305710489747914,0.03783857381759626,0.03203413151459539,239871,0.04325497807957137
Corporations,8244,94472,21848210,4562754,France,2015,0,0,0,0.03269827021554496,0.08389127457420903,0.02161272224872982,17285456,0.1429806315199795
Individuals,307681,46337,780961,170145,Germany,2015,0,0,0,0.17295535150663124,0.11960936479354561,0.1450820421947454,610816,0.11014600635613087
Corporations,20672,172570,13782616,4270879,Germany,2015,0,0,0,0.030606593211007307,0.05292155390335806,0.05419434671588341,9511737,0.07867852390541247
Individuals,57420,32922,160102,30285,Hong Kong,2015,1,0,0,0.030785229189093582,0.024520684800106843,0.027075480328074473,129817,0.023409380414288167
Corporations,3768,47625,777242,534268,Hong Kong,2015,1,0,0,0.0038287489160096673,0.0029844011034591564,0.009878303909899801,242974,0.0020098154172464703
Individuals,252294,9516,101798,3628,Ireland,2015,0,0,0,0.0036879250948664856,0.015591039907566903,0.1189651904195615,98170,0.01770260347466564
Corporations,13976,919553,20322759,13903122,Ireland,2015,0,0,0,0.0996345715757825,0.07803395131109037,0.03663990855752644,6419637,0.05310150639873352
Individuals,2064,2965,40703,3101,Luxembourg,2015,0,0,0,0.0031522204297632227,0.006233934825415977,9.732461058367417e-4,37602,0.006780618272938549
Corporations,16249,1182557,30296091,23445986,Luxembourg,2015,0,0,0,0.16802202917314502,0.11632887493328849,0.042598874796168223,6850105,0.05666222163176773
Individuals,220510,107199,1097243,148515,Mexico,2015,0,0,0,0.15096808033740244,0.16805005404132137,0.10397795484402128,948728,0.17108032585629604
Corporations,6270,144350,3146091,322653,Mexico,2015,0,0,0,0.0023122427770281345,0.012080146790810225,0.016437623544339638,2823438,0.023354717879441995
Individuals,435042,111407,1229642,108110,United Kingdom,2015,0,0,0,0.10989569515050049,0.188327840370345,0.20513707963925765,1121532,0.20224138005652137
Corporations,36777,492112,71739842,31453811,United Kingdom,2015,0,0,0,0.22540886740479116,0.2754617784766978,0.09641570671294719,40286031,0.3332351864951362
Individuals,150077,41120,293310,10831,Australia,2016,0,0,0,0.01449226882750574,0.041467799789034636,0.06767849726200553,282479,0.04465481632069126
Corporations,17353,301211,5238197,1981138,Australia,2016,0,0,0,0.011883338695258911,0.014465318809421784,0.04025835129372844,3257059,0.016668206712151436
Individuals,5064,7042,198419,165934,Bermuda,2016,1,0,0,0.22202567958852715,0.0280522292671251,0.0022836537919521047,32485,0.0051352904399182085
Corporations,10921,353160,8903580,6946120,Bermuda,2016,1,0,0,0.0416644860569591,0.024587300409891346,0.025336336914585852,1957460,0.010017426123004818
Individuals,1505,2307,20958,12951,British Virgin Islands,2016,1,0,0,0.01732890532591883,0.002963015744361215,6.786925270315792e-4,8007,0.001265761753191476
Corporations,101380,375659,3850290,2164561,British Virgin Islands,2016,1,0,0,0.012983553639144938,0.010632603615085228,0.23519804380557766,1685729,0.008626825437509216
Individuals,443955,145725,1585839,29428,Canada,2016,0,0,0,0.039375725884575656,0.22420392809533565,0.20020527630452145,1556411,0.24604040415217912
Corporations,54369,448138,26294913,9944444,Canada,2016,0,0,0,0.05964914922031444,0.072613591968956,0.1261341728513065,16350469,0.08367456565343888
Individuals,1740,19197,103293,87955,Cayman Islands,2016,1,0,1,0.11768696378203927,0.014603434740065988,7.846677721162445e-4,15338,0.0024246601436806368
Corporations,119696,2320713,64669936,50953319,Cayman Islands,2016,1,0,1,0.3056301718126507,0.17858649486166767,0.27769052131931765,13716617,0.07019566042476065
Individuals,260084,28232,737948,71540,China,2016,0,0,0,0.09572310146060019,0.10433016234945461,0.11728708784085133,666408,0.10534704114160423
Corporations,3038,49477,1473313,963657,China,2016,0,0,0,0.005780244746735016,0.004068564479546233,0.0070480534334320865,509656,0.0026081970145730403
Individuals,69814,34893,277038,7306,France,2016,0,0,0,0.009775691630851902,0.03916728484523057,0.031483216001450286,269732,0.04263974637340367
Corporations,9859,69230,37518282,8779516,France,2016,0,0,0,0.052661632964712574,0.1036070064397713,0.022872534167283392,28738766,0.1470724639437448
