recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Individuals,68903,16853,194458,119441,Argentina,2015,0,0,0,0.07231634381701647,0.01728448875838923,0.019233678742881198,75017,0.00781525750959392
Corporations,1537,2067,28755,15027,Argentina,2015,0,0,0,8.174060723887899e-5,7.733288047184186e-5,0.002783053971691434,13728,7.302266014210333e-5
Individuals,135290,33406,242342,12613,Australia,2015,0,0,0,0.007636624312958104,0.021540680119540277,0.037765037765037764,229729,0.023933125723789295
Corporations,17523,364911,6173334,2017379,Australia,2015,0,0,0,0.010973699640045414,0.016602389161354803,0.031728988123584254,4155955,0.022106562465827144
Individuals,16373,5445,45267,2028,Austria,2015,0,0,0,0.0012278660197160892,0.004023578112631033,0.004570381870995368,43239,0.004504631209690224
Corporations,1707,7673,326085,181331,Austria,2015,0,0,0,9.863649465118231e-4,8.769637394769797e-4,0.003090873864461469,144754,7.699826738206604e-4
Individuals,2459,3385,17695,4157,Bahamas,2015,0,0,0,0.0025168831577710962,0.0015728282126716178,6.864086618687846e-4,13538,0.0014103863946156535
Corporations,16508,82328,859898,448002,Bahamas,2015,0,0,0,0.00243694386931738,0.0023125852635011604,0.029891122293221987,411896,0.0021909776822473625
Individuals,1459,604,3866,549,Barbados,2015,0,0,0,3.323956828521366e-4,3.436311879168395e-4,4.072672784329226e-4,3317,3.455644608465152e-4
Corporations,1376,6441,5681467,258599,Barbados,2015,0,0,0,0.0014066706123222778,0.015279576018630288,0.002491530426185695,5422868,0.02884558908504426
Individuals,25150,9172,81930,5665,Belgium,2015,0,0,0,0.003429911736534342,0.007282385728408344,0.0070204057934119286,76265,0.00794527392416626
Corporations,2382,58458,2192640,1230623,Belgium,2015,0,0,0,0.006694075417723496,0.0058968237537047235,0.0043130999092836665,962017,0.005117208656900191
Individuals,5809,3625,180778,163735,Bermuda,2015,1,0,0,0.09913443922002657,0.016068535667157373,0.0016215322963789222,17043,0.0017755366615035148
Corporations,10451,201715,6757445,5700642,Bermuda,2015,1,0,0,0.031009112845641684,0.018173280698314916,0.0189236805843508,1056803,0.005621399060763055
Individuals,52799,21847,172091,51526,Brazil,2015,0,0,0,0.03119675765872348,0.015296387677133167,0.014738385904030076,120565,0.012560439922206845
Corporations,1850,66126,447576,181946,Brazil,2015,0,0,0,9.89710289790715e-4,0.001203698185013566,0.0033498047154386164,265630,0.0014129523028516104
Individuals,2363,5138,35318,15917,British Virgin Islands,2015,1,0,0,0.009637052976243093,0.003139256672231489,6.596110890589418e-4,19401,0.0020211926755752912
Corporations,92750,361373,3678208,1833205,British Virgin Islands,2015,1,0,0,0.009971869960294746,0.009892068148654929,0.16794291208482792,1845003,0.009814031689259985
Individuals,414,28,173,33,Brunei,2015,0,0,0,1.9980068368161215e-5,1.537718456016897e-5,1.1556453274244686e-4,140,1.4585174711640678e-5
Corporations,33,25,1104,884,Brunei,2015,0,0,0,4.808590989496841e-6,2.9690662507707672e-06,5.975327330241856e-5,220,1.1702349381747329e-6
Individuals,425624,120626,1566107,29613,Canada,2015,0,0,0,0.017929386805647214,0.13920414092469677,0.11880927218350532,1536494,0.16007166738134024
Corporations,46100,471173,21581656,6365234,Canada,2015,0,0,0,0.034624215903211464,0.05804109281281199,0.08347351209822713,15216422,0.08093994844732111
Individuals,1505,14091,270790,256263,Cayman Islands,2015,1,0,1,0.15515612909788176,0.024069293682359275,4.2010778207097224e-4,14527,0.001513420235971458
Corporations,106553,2426661,58966566,44590219,Cayman Islands,2015,1,0,1,0.24255217794467288,0.1585830081833759,0.19293607667250318,14376347,0.0764713797396523
Individuals,19534,7409,59349,25396,Chile,2015,0,0,0,0.015376176250843098,0.00527526315873681,0.005452747784036128,33953,0.003537217407030971
Corporations,9987,152502,911056,188898,Chile,2015,0,0,0,0.0010275262677986133,0.0024501681360164966,0.018083513347613763,722158,0.0038413387385563126
Individuals,207200,20801,576421,34639,China,2015,0,0,0,0.02097241176377989,0.05123544567258472,0.0578380946479106,541782,0.05644275089730078
Corporations,2109,45426,1364772,540991,China,2015,0,0,0,0.0029427652126684223,0.003670379062678371,0.0038187773756000226,823781,0.0043818968527478165
Individuals,25234,8248,51760,12904,Colombia,2015,0,0,0,0.007812812188568252,0.0046007114036667384,0.0070438536696205405,38856,0.004048011061396501
Corporations,3200,74788,367095,82233,Colombia,2015,0,0,0,4.473131932571196e-4,9.872548689553395e-4,0.005794256805083012,284862,0.001515252113446958
Individuals,1535,569,4276,309,Cyprus,2015,0,0,0,1.8708609472005503e-4,3.800742264698411e-4,4.284820235740481e-4,3967,4.132813434362755e-4
Corporations,775,3652,92862,27823,Cyprus,2015,0,0,0,1.5134550577010247e-4,2.497404258868433e-4,0.001403296569981042,65039,3.4595868247248385e-4
Individuals,9491,1803,15058,716,Czech Republic,2015,0,0,0,4.3350693792737667e-4,0.0013384372549538979,0.002649330870189766,14342,0.0014941469693882186
Corporations,395,1857,129713,6928,Czech Republic,2015,0,0,0,3.768542802628293e-5,3.488464588643374e-4,7.152285743774342e-4,122785,6.531240767444753e-4
Individuals,10198,4470,32151,755,Denmark,2015,0,0,0,4.5711974599883993e-4,0.0028577564207745232,0.0028466838282789203,31396,0.003270829608904791
Corporations,4428,81195,3251739,751097,Denmark,2015,0,0,0,0.004085654147554421,0.008745134530086126,0.008017802854033617,2500642,0.013301539255759729
Individuals,157,89,683,49,East Timor,2015,0,0,0,2.9667374243633322e-5,6.070876910170754e-5,4.382519719943033e-5,634,6.60500054798585e-5
Corporations,229,255,8359,6177,East Timor,2015,0,0,0,3.360030151823754e-5,2.248045723749352e-5,4.14651502613753e-4,2182,1.160660288680576e-5
Individuals,8681,1944,14941,198,Finland,2015,0,0,0,1.198804102089673e-4,0.0013280376561473095,0.002423226349606718,14743,0.0015359230769551322
Corporations,1495,22956,705949,195521,Finland,2015,0,0,0,0.0010635526231418686,0.001898559194443272,0.0027070043511247194,510428,0.0027150939955575114
Individuals,67936,30967,247058,7187,France,2015,0,0,0,0.0043514167079386264,0.021959863948359682,0.018963749025098717,239871,0.02498971745182829
Corporations,8244,94472,21848210,4562754,France,2015,0,0,0,0.024819477117297133,0.05875795557133368,0.01492745409409511,17285456,0.09194565697037302
Individuals,612,349,3058,74,Gabon,2015,0,0,0,4.480378967405848e-5,2.7181173632946073e-4,1.708345266627475e-4,2984,3.1087258099668415e-4
Corporations,238,56,118606,22038,Gabon,2015,0,0,0,1.1987752061824816e-4,3.189756084591645e-4,4.30947849878049e-4,96568,5.1366930686208e-4
Individuals,307681,46337,780961,170145,Germany,2015,0,0,0,0.10301541613638758,0.06941607763753825,0.08588649999692945,610816,0.0636347005476108
Corporations,20672,172570,13782616,4270879,Germany,2015,0,0,0,0.023231798955465247,0.03706657609867137,0.037430898960836255,9511737,0.05059530436422418
Individuals,185,181,768,102,Gibraltar,2015,0,0,0,6.175657495613467e-5,6.826403319196397e-5,5.1641155935634464e-5,666,6.938375969966209e-5
Corporations,300,1643,216759,10343,Gibraltar,2015,0,0,0,5.62616024936265e-5,5.82945499502555e-4,5.432115754765324e-4,206416,0.001097978249992162
Individuals,19098,12449,61488,4242,Greece,2015,0,0,0,0.0025683469702345416,0.005465389157431616,0.005331042140858092,57246,0.005963877939589873
Corporations,617,722,51542,3588,Greece,2015,0,0,0,1.9517222251487176e-5,1.3861559121125622e-4,0.0011172051402300682,47954,2.550793010237779e-4
Individuals,258,1560,9410,4127,Guernsey,2015,0,0,0,0.002498719459254586,8.364121775213294e-4,7.201847692645239e-5,5283,5.503819857256979e-4
Corporations,8183,87630,1085985,574062,Guernsey,2015,0,0,0,0.003122657647751737,0.0029206172213254453,0.014817001073748214,511923,0.002723046273887381
