recipient_type,number_of_forms_1042s,total_u_s_source_income,u_s_tax_withheld,interest,dividends,rents_royalties,socialsecurity,personal_services_income,notional_principal_contract,return_on_capital,year,af_change,WFP,ForCorp,int_share_of_total_income,share_of_total_interest,share_of_total_income,non_int_income,share_of_nonint_inc
Corporations,619412.0,9919577.0,435937400.0,205142336.0,89710948.0,34136414.0,0.0,3966774.0,36566117.0,,2015,0,0,1,20.68055280986276,0.5019856531667433,0.5395872677649549,-195222759.0,0.5002144688549317
Individuals,3870025.0,1221250.0,13357905.0,1898087.0,2589078.0,1829460.0,1928987.0,1553820.0,4916.0,,2015,0,0,0,1.5542165813715456,0.004644640696995398,0.06643135596991194,-676837.0,0.0017342427808653468
Other and unknown,287344.0,1300939.0,101541642.0,40147614.0,30813832.0,12028023.0,0.0,345581.0,7204698.0,,2015,0,0,0,30.860489231239896,0.09824167273242071,0.07076613453767965,-38846675.0,0.09953587891822158
Partnerships and trusts,175300.0,726216.0,21992305.0,7302467.0,9536435.0,1799310.0,0.0,34762.0,0.0,,2015,0,0,0,10.055502770525573,0.01786922065040533,0.03950338882869647,-6576251.0,0.01685016602506736
U.S. branches treated as U.S. persons,2241.0,22283.0,14017617.0,6988793.0,2839852.0,14029.0,0.0,2823.0,2747578.0,,2015,0,0,0,313.6378853834762,0.01710165676846033,0.0012121104647513186,-6966510.0,0.017850117052298036
Withholding foreign partnerships and trusts,3052.0,9356.0,2301429.0,1010758.0,343520.0,15186.0,0.0,1813.0,709931.0,,2015,0,1,0,108.03313381787089,0.002473336439064002,0.0005089308220712353,-1001402.0,0.0025658676893315817
Withholding rate pools (general),35724.0,4724935.0,86960654.0,42111617.0,35632878.0,191911.0,0.0,438.0,0.0,,2015,0,0,0,8.91263414205698,0.10304761063875538,0.2570184965565575,-37386682.0,0.09579497480044442
Withholding rate pools (tax-exempt),1092.0,4098.0,19279065.0,12027563.0,7056675.0,1926.0,0.0,5.0,0.0,,2015,0,0,0,2934.9836505612493,0.029431584851208645,0.00022291561659340767,-12023465.0,0.030807428342772582
Corporations,674450.0,9835321.0,522992662.0,233771568.0,86471932.0,44378976.0,0.0,4857492.0,63320800.0,,2016,0,0,1,23.768575321537547,0.5679760951818632,0.5065615216271533,-223936247.0,0.571016645215275
Individuals,4065803.0,2305895.0,13422555.0,1566926.0,2593944.0,2093925.0,1990325.0,1157402.0,0.0,,2016,0,0,0,0.6795305076770625,0.003807034869693547,0.11876355432755521,738969.0,-0.0018843023626187972
Other and unknown,544377.0,1183815.0,46346931.0,20233209.0,8045405.0,9326469.0,0.0,384915.0,145266.0,,2016,0,0,0,17.091529504187733,0.049159010820419916,0.06097158676621216,-19049394.0,0.04857418663117985
Partnerships and trusts,195693.0,727523.0,28941597.0,8456618.0,9818882.0,5699271.0,0.0,37688.0,1563155.0,,2016,0,0,0,11.623849692724491,0.0205463688812861,0.03747057751330653,-7729095.0,0.019708474874325085
U.S. branches treated as U.S. persons,2155.0,55268.0,16062185.0,8289159.0,2967327.0,19660.0,0.0,31048.0,1865193.0,,2016,0,0,0,149.98116450749077,0.02013950713271341,0.002846540766416217,-8233891.0,0.020995657821702467
Withholding foreign partnerships and trusts,3141.0,7824.0,3079290.0,1106371.0,613934.0,27724.0,0.0,3257.0,688478.0,,2016,0,1,0,141.407336400818,0.0026880611948603313,0.00040296980090541505,-1098547.0,0.002801192888399638
Withholding rate pools (general),40192.0,4936901.0,86838917.0,45138571.0,36020295.0,70597.0,0.0,0.0,0.0,,2016,0,0,0,9.143098271567528,0.10966957837519954,0.2542717296855502,-40201670.0,0.10251052718344236
Withholding rate pools (tax-exempt),924.0,2548.0,13910057.0,6699459.0,6904905.0,192.0,0.0,3.0,0.0,,2016,0,0,0,2629.3010204081634,0.01627714009537289,0.00013123300775907433,-6696911.0,0.017076501476445984
Corporations,715877.0,10506486.0,524209269.0,271464074.0,86090444.0,51941519.0,0.0,4896114.0,35018702.0,,2017,0,0,1,25.83776097926557,0.593935763566512,0.5398992861541971,-260957588.0,0.5963387696945807
Individuals,4439105.0,1567407.0,15363099.0,1969711.0,3206922.0,2155891.0,2049350.0,1281104.0,446.0,,2017,0,0,0,1.2566684977162919,0.004309527185502851,0.08054471498968273,-402304.0,0.0009193427722945101
Other and unknown,476107.0,1176529.0,48441757.0,15991333.0,12097021.0,6622791.0,0.0,455032.0,403987.0,,2017,0,0,0,13.59195820927491,0.03498740896300466,0.06045857456429404,-14814804.0,0.033854704353821485
Partnerships and trusts,185730.0,755652.0,26571413.0,10292177.0,9670785.0,2594754.0,0.0,332068.0,194494.0,,2017,0,0,0,13.620260384409756,0.022518235710470815,0.03883086841604238,-9536525.0,0.021792811733305915
U.S. branches treated as U.S. persons,3233.0,83602.0,29637382.0,18840134.0,5133284.0,73724.0,0.0,6105.0,1459768.0,,2017,0,0,0,225.3550632759982,0.04122029559235674,0.004296075787952622,-18756532.0,0.042862318364994365
Withholding foreign partnerships and trusts,4045.0,7179.0,3712793.0,1346648.0,1082983.0,27956.0,0.0,27956.0,264191.0,,2017,0,1,0,187.581557319961,0.0029463287585351577,0.0003689089744469256,-1339469.0,0.0030609468060535197
Withholding rate pools (general),27411.0,5000023.0,92027890.0,48127480.0,37483176.0,66348.0,0.0,0.0,0.0,,2017,0,0,0,9.625451722922074,0.10529802769530393,0.2569373669231147,-43127457.0,0.09855461511790158
Withholding rate pools (tax-exempt),725.0,2100.0,10855839.0,4468047.0,6146583.0,0.0,0.0,0.0,0.0,,2017,0,0,0,2127.6414285714286,0.009775632066127702,0.00010791319770699872,-4465947.0,0.010205556235832481
Corporations,761081.0,11758608.0,637085170.0,303761290.0,126791201.0,56928750.0,0.0,4520293.0,48468768.0,,2018,1,0,1,25.833099462113204,0.5662524861241887,0.5494275604743243,-292002682.0,0.5669516158731807
Individuals,4925906.0,1672738.0,17748340.0,2547535.0,3554124.0,2470772.0,2138684.0,1411024.0,0.0,,2018,1,0,0,1.5229731135419893,0.004748952795263626,0.07815962218084829,-874797.0,0.001698503483988585
Other and unknown,477038.0,676291.0,40746639.0,16019434.0,6644391.0,7015471.0,0.0,640207.0,294222.0,,2018,1,0,0,23.6871908690194,0.029862410476339352,0.0316000766673012,-15343143.0,0.029790204859910435
Partnerships and trusts,191582.0,868990.0,31686176.0,13850626.0,11535057.0,1765215.0,0.0,354078.0,79423.0,,2018,1,0,0,15.938763391983798,0.025819456478066466,0.040604045629940466,-12981636.0,0.025205109269775317
U.S. branches treated as U.S. persons,1402.0,96937.0,49530521.0,34620844.0,7304910.0,12555.0,0.0,29965.0,1083204.0,,2018,1,0,0,357.147879550636,0.06453797647066122,0.00452943574866171,-34523907.0,0.06703152425122388
Withholding foreign partnerships and trusts,4776.0,36051.0,3790386.0,1824553.0,1001186.0,60225.0,0.0,42631.0,70944.0,,2018,1,1,0,50.61032981054617,0.003401215712230307,0.0016845032152326077,-1788502.0,0.0034725506353137383
Withholding rate pools (general),34328.0,5973618.0,113768550.0,53840482.0,49414290.0,115417.0,0.0,15913.0,0.0,,2018,1,0,0,9.013044021228007,0.10036600380063118,0.27912065483818427,-47866864.0,0.092938173395208
Withholding rate pools (tax-exempt),869.0,4814.0,16572585.0,9934072.0,6161886.0,1.0,0.0,0.0,0.0,,2018,1,0,0,2063.5795596177813,0.018518465494193455,0.00022493685274000094,-9929258.0,0.019278620418704602
Corporations,810446.0,12067047.0,702821916.0,343414667.0,134713323.0,54947917.0,0.0,6245053.0,53057238.0,,2019,1,0,1,28.458882028055413,0.5948198430865759,0.5717700590199728,-331347620.0,0.5956943960483592
Hybrid entity making treaty claim,2292.0,125161.0,16620201.0,3746326.0,4438573.0,2937100.0,0.0,139062.0,0.0,,2019,1,0,0,29.9320555124999,0.006488916338192275,0.005930474320436376,-3621165.0,0.006510104698100613
Individuals,5456187.0,1579649.0,15751990.0,2755916.0,3435893.0,1693707.0,2242544.0,1244661.0,0.0,,2019,1,0,0,1.7446382076018154,0.004773452272729469,0.07484813823637557,-1176267.0,0.002114684451805072
Other and unknown,512054.0,379499.0,30796352.0,8136680.0,3707590.0,8512468.0,0.0,353811.0,312913.0,,2019,1,0,0,21.440583506148897,0.014093337256459348,0.017981712147803905,-7757181.0,0.013945804864488862
Partnerships and trusts,184442.0,869572.0,32028557.0,14528010.0,12065956.0,889985.0,0.0,374905.0,1371.0,,2019,1,0,0,16.707081184766757,0.025163598002528546,0.04120272621479934,-13658438.0,0.024555042753510524
U.S. branches treated as U.S. persons,2195.0,52324.0,50897523.0,33981893.0,7365011.0,21597.0,0.0,27028.0,1255051.0,,2019,1,0,0,649.451360752236,0.058859175813957915,0.002479255825237198,-33929569.0,0.0609983379800227
Withholding foreign partnerships and trusts,5993.0,7492.0,6256318.0,2764691.0,1857318.0,33949.0,0.0,39530.0,103536.0,,2019,1,1,0,369.01908702616123,0.004788651227883836,0.0003549916795863674,-2757199.0,0.004956872764289479
Withholding rate pools (general),29941.0,5615994.0,97378603.0,50246054.0,40475938.0,195664.0,0.0,13852.0,0.0,,2019,1,0,0,8.946956496036142,0.08702991697206579,0.26610132709649786,-44630060.0,0.0802356046417416
Withholding rate pools (tax-exempt),901.0,1129.0,16561881.0,7176149.0,7967501.0,2.0,0.0,0.0,0.0,,2019,1,0,0,6356.199291408326,0.012429625849806492,5.3495142318874644e-05,-7175020.0,0.012899199956634359
