recipient_type,number_of_forms_1042s,total_u_s_source_income,u_s_tax_withheld,interest_income,country,year,tax_haven,afchange,cayman
Corporations,17523.0,364911.0,6173334.0,2017379.0,Australia,2015,0,0,0
Corporations,10451.0,201715.0,6757445.0,5700642.0,Bermuda,2015,1,0,0
Corporations,92750.0,361373.0,3678208.0,1833205.0,British Virgin Islands,2015,1,0,0
Corporations,46100.0,471173.0,21581656.0,6365234.0,Canada,2015,0,0,0
Corporations,106553.0,2426661.0,58966566.0,44590219.0,Cayman Islands,2015,1,0,1
Corporations,2109.0,45426.0,1364772.0,540991.0,China,2015,0,0,0
Corporations,8244.0,94472.0,21848210.0,4562754.0,France,2015,0,0,0
Corporations,20672.0,172570.0,13782616.0,4270879.0,Germany,2015,0,0,0
Corporations,3768.0,47625.0,777242.0,534268.0,Hong Kong,2015,1,0,0
Corporations,6270.0,144350.0,3146091.0,322653.0,Mexico,2015,0,0,0
Corporations,36777.0,492112.0,71739842.0,31453811.0,United Kingdom,2015,0,0,0
Corporations,17353.0,301211.0,5238197.0,1981138.0,Australia,2016,0,0,0
Corporations,10921.0,353160.0,8903580.0,6946120.0,Bermuda,2016,1,0,0
Corporations,101380.0,375659.0,3850290.0,2164561.0,British Virgin Islands,2016,1,0,0
Corporations,54369.0,448138.0,26294913.0,9944444.0,Canada,2016,0,0,0
Corporations,119696.0,2320713.0,64669936.0,50953319.0,Cayman Islands,2016,1,0,1
Corporations,3038.0,49477.0,1473313.0,963657.0,China,2016,0,0,0
Corporations,9859.0,69230.0,37518282.0,8779516.0,France,2016,0,0,0
Corporations,24205.0,235239.0,21954872.0,5759695.0,Germany,2016,0,0,0
Corporations,4444.0,117389.0,1445907.0,1080817.0,Hong Kong,2016,1,0,0
Corporations,6838.0,111972.0,6185168.0,331757.0,Mexico,2016,0,0,0
Corporations,44205.0,538564.0,120217147.0,30581068.0,United Kingdom,2016,0,0,0
Corporations,17783.0,307036.0,5827157.0,2706460.0,Australia,2017,0,0,0
Corporations,11259.0,282487.0,9212928.0,7937382.0,Bermuda,2017,1,0,0
Corporations,95743.0,360221.0,4038895.0,2497885.0,British Virgin Islands,2017,1,0,0
Corporations,66813.0,535323.0,32362726.0,13373266.0,Canada,2017,0,0,0
Corporations,129134.0,2485671.0,74146774.0,60612168.0,Cayman Islands,2017,1,0,1
Corporations,4025.0,77528.0,2964539.0,2107241.0,China,2017,0,0,0
Corporations,10256.0,72746.0,34310078.0,9978297.0,France,2017,0,0,0
Corporations,25468.0,270780.0,24888662.0,6775414.0,Germany,2017,0,0,0
Corporations,5662.0,96802.0,2033854.0,1181525.0,Hong Kong,2017,1,0,0
Corporations,7030.0,181550.0,4681747.0,622142.0,Mexico,2017,0,0,0
Corporations,60175.0,463757.0,81898833.0,33899355.0,United Kingdom,2017,0,0,0
Corporations,18476.0,361037.0,9885742.0,2862822.0,Australia,2018,0,1,0
Corporations,11960.0,370956.0,10991835.0,9382586.0,Bermuda,2018,1,1,0
Corporations,102536.0,390499.0,4545353.0,2818131.0,British Virgin Islands,2018,1,1,0
Corporations,75933.0,697065.0,44111766.0,17110771.0,Canada,2018,0,1,0
Corporations,147846.0,2868781.0,99550908.0,81109453.0,Cayman Islands,2018,1,1,1
Corporations,3994.0,78335.0,3046612.0,2056388.0,China,2018,0,1,0
Corporations,10839.0,120826.0,41501228.0,12799435.0,France,2018,0,1,0
Corporations,28072.0,288872.0,26502581.0,7342602.0,Germany,2018,0,1,0
Corporations,4797.0,87153.0,2110855.0,1540187.0,Hong Kong,2018,1,1,0
Corporations,7251.0,190353.0,6456082.0,947027.0,Mexico,2018,0,1,0
Corporations,47904.0,499519.0,120134553.0,34612841.0,United Kingdom,2018,0,1,0
Corporations,17316.0,369860.0,8517966.0,3956185.0,Australia,2019,0,1,0
Corporations,14782.0,371432.0,11621653.0,10149988.0,Bermuda,2019,1,1,0
Corporations,101501.0,306188.0,4976747.0,3209635.0,British Virgin Islands,2019,1,1,0
Corporations,80154.0,770819.0,51058658.0,20999512.0,Canada,2019,0,1,0
Corporations,157267.0,2993325.0,144604406.0,107851364.0,Cayman Islands,2019,1,1,1
Corporations,3971.0,84080.0,3222885.0,2356475.0,China,2019,0,1,0
Corporations,11585.0,63175.0,36211447.0,14404660.0,France,2019,0,1,0
Corporations,31094.0,287768.0,29472672.0,9887207.0,Germany,2019,0,1,0
Corporations,5306.0,128037.0,2775819.0,2147214.0,Hong Kong,2019,1,1,0
Corporations,8477.0,184385.0,5723278.0,947236.0,Mexico,2019,0,1,0
Corporations,50196.0,515631.0,138132964.0,35457368.0,United Kingdom,2019,0,1,0
Corporations,16077.0,341630.0,6099926.0,2426536.0,Australia,2020,0,1,0
Corporations,12610.0,277179.0,10656155.0,9256235.0,Bermuda,2020,1,1,0
Corporations,103383.0,266948.0,3531492.0,2381303.0,British Virgin Islands,2020,1,1,0
Corporations,79598.0,693134.0,43606785.0,16678946.0,Canada,2020,0,1,0
Corporations,184356.0,2488202.0,98292459.0,83207300.0,Cayman Islands,2020,1,1,1
Corporations,3812.0,140658.0,3402308.0,1607178.0,China,2020,0,1,0
Corporations,11532.0,64225.0,40113324.0,15520973.0,France,2020,0,1,0
Corporations,33610.0,443908.0,27427585.0,7072398.0,Germany,2020,0,1,0
Corporations,5649.0,183145.0,3205259.0,2212014.0,Hong Kong,2020,1,1,0
Corporations,7814.0,170456.0,67870181.0,710206.0,Mexico,2020,0,1,0
Corporations,48777.0,485301.0,76416381.0,26043082.0,United Kingdom,2020,0,1,0
Corporations,16267.0,435207.0,9096955.0,2287686.0,Australia,2021,0,,0
Corporations,11358.0,263566.0,7835777.0,6637269.0,Bermuda,2021,1,,0
Corporations,104163.0,338238.0,4133405.0,2357797.0,British Virgin Islands,2021,1,,0
Corporations,82101.0,881132.0,52923805.0,17227227.0,Canada,2021,0,,0
Corporations,159555.0,2166975.0,70329527.0,55221865.0,Cayman Islands,2021,1,,1
Corporations,2792.0,205343.0,4552721.0,1012769.0,China,2021,0,,0
Corporations,12080.0,196950.0,43897298.0,9906453.0,France,2021,0,,0
Corporations,35329.0,559445.0,29354402.0,6743022.0,Germany,2021,0,,0
Corporations,5839.0,101288.0,4134850.0,3623482.0,Hong Kong,2021,1,,0
Corporations,8044.0,200561.0,6479866.0,768596.0,Mexico,2021,0,,0
Corporations,40545.0,568823.0,77941942.0,23979051.0,United Kingdom,2021,0,,0
Corporations,21658.0,466412.0,10906270.0,3213949.0,Australia,2022,0,,0
Corporations,14137.0,290824.0,8515276.0,7209166.0,Bermuda,2022,1,,0
Corporations,131333.0,435385.0,5544365.0,3560630.0,British Virgin Islands,2022,1,,0
Corporations,110172.0,1223769.0,68592302.0,24683244.0,Canada,2022,0,,0
Corporations,208207.0,3186368.0,130318591.0,101613194.0,Cayman Islands,2022,1,,1
Corporations,5061.0,197453.0,9799546.0,6394303.0,China,2022,0,,0
Corporations,15838.0,80607.0,49009188.0,13653967.0,France,2022,0,,0
Corporations,47342.0,482873.0,35986206.0,8662632.0,Germany,2022,0,,0
Corporations,8322.0,127669.0,5189635.0,4160399.0,Hong Kong,2022,1,,0
Corporations,11744.0,143021.0,7592633.0,1346235.0,Mexico,2022,0,,0
Corporations,62765.0,574527.0,98461628.0,32128552.0,United Kingdom,2022,0,,0
